,path,SAN,headMidTail,zPixels,xPixels,yPixels,zVoxel,xVoxel,yVoxel,maskStart,maskStop,numGoodSlices,totalNumPixels,numPixelsInMask,maskRatio,maskPercent,totalVolume,vPixelsInMask,vMaskRatio,vMaskPercent
0,/media/cudmore/data/san-density/SAN1/SAN1_head/aicsAnalysis/SAN1_head_ch1.tif,SAN1,head,88,1480,1480,1,0.397747635,0.397747635,18,39,22,48188800,19894671,0.412848442,41.2848442,7623621.444,3147400.235,0.412848442,41.2848442
1,/media/cudmore/data/san-density/SAN1/SAN1_mid/aicsAnalysis/SAN1_mid_ch1.tif,SAN1,mid,88,1480,1480,1,0.397747635,0.397747635,39,66,28,61331200,15417610,0.25138282,25.13828198,9702790.929,2439114.944,0.25138282,25.13828198
2,/media/cudmore/data/san-density/SAN1/SAN1_tail/aicsAnalysis/SAN1_tail_ch2.tif,SAN1,tail,96,1480,1480,1,0.397747635,0.397747635,32,56,25,54760000,10409208,0.190087801,19.00878013,8663206.186,1646769.816,0.190087801,19.00878013
3,/media/cudmore/data/san-density/SAN2/SAN2_head/aicsAnalysis/SAN2_head_ch1.tif,SAN2,head,72,1480,1480,1,0.397747635,0.397747635,17,39,23,50379200,36806702,0.730593221,73.0593221,7970149.691,5822937.335,0.730593221,73.0593221
4,/media/cudmore/data/san-density/SAN2/SAN2_mid/aicsAnalysis/SAN2_mid_ch1.tif,SAN2,mid,72,1480,1480,1,0.397747635,0.397747635,49,64,16,35046400,17588519,0.501863786,50.18637863,5544451.959,2782559.653,0.501863786,50.18637863
5,/media/cudmore/data/san-density/SAN2/SAN2_tail/aicsAnalysis/SAN2_tail_ch1.tif,SAN2,tail,73,1480,1480,1,0.397747635,0.397747635,26,44,19,41617600,7662052,0.184106051,18.41060513,6584036.702,1212160.999,0.184106051,18.41060513
6,/media/cudmore/data/san-density/SAN3/SAN3_head/aicsAnalysis/SAN3_head_ch1.tif,SAN3,head,83,948,948,1,0.621480865,0.621480865,25,43,19,17075376,3952459,0.231471272,23.14712718,6595167.017,1526591.697,0.231471272,23.14712718
7,/media/cudmore/data/san-density/SAN3/SAN3_mid/aicsAnalysis/SAN3_mid_ch1.tif,SAN3,mid,83,948,948,1,0.621480865,0.621480865,33,42,10,8987040,3954960,0.440073706,44.00737061,3471140.535,1527557.68,0.440073706,44.00737061
8,/media/cudmore/data/san-density/SAN3/SAN3_tail/aicsAnalysis/SAN3_tail_ch1.tif,SAN3,tail,77,948,948,1,0.621480865,0.621480865,21,31,11,9885744,4538349,0.459080166,45.90801663,3818254.589,1752884.952,0.459080166,45.90801663
9,/media/cudmore/data/san-density/SAN4/SAN4_head/aicsAnalysis/SAN4_head_ch1.tif,SAN4,head,104,1184,1184,1,0.497184692,0.497184692,37,59,23,32242688,9456033,0.29327682,29.32768198,7970154.447,2337461.55,0.29327682,29.32768198
10,/media/cudmore/data/san-density/SAN4/SAN4_mid/aicsAnalysis/SAN4_mid_ch1.tif,SAN4,mid,104,1184,1184,1,0.497184692,0.497184692,69,88,20,28037120,8394429,0.299404111,29.94041114,6930569.084,2075040.878,0.299404111,29.94041114
11,/media/cudmore/data/san-density/SAN4/SAN4_tail/aicsAnalysis/SAN4_tail_ch1.tif,SAN4,tail,86,1184,1184,1,0.497184692,0.497184692,27,43,17,23831552,2781628,0.116720388,11.67203882,5890983.721,687597.9066,0.116720388,11.67203882
12,/media/cudmore/data/san-density/SAN7/SAN7_head/aicsAnalysis/20201202__0001_ch1.tif,SAN7,head,101,800,800,0.45,0.397747635,0.397747635,18,50,33,21120000,9835707,0.465705824,46.57058239,1503563.031,700218.0602,0.465705824,46.57058239
13,/media/cudmore/data/san-density/SAN7/SAN7_head/aicsAnalysis/20201202__0002_ch1.tif,,,130,800,800,0.45,0.397747635,0.397747635,15,47,33,21120000,6867970,0.325187973,32.51879735,1503563.031,488940.6152,0.325187973,32.51879735
14,/media/cudmore/data/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0003_ch1.tif,,,78,800,800,0.45,0.397747635,0.397747635,36,55,20,12800000,3395840,0.2653,26.53,911250.322,241754.7104,0.2653,26.53
15,/media/cudmore/data/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0004_ch1.tif,,,67,800,800,0.45,0.397747635,0.397747635,13,46,34,21760000,3406783,0.156561719,15.65617188,1549125.547,242533.7583,0.156561719,15.65617188
16,/media/cudmore/data/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0005_ch1.tif,,,125,800,800,0.45,0.397747635,0.397747635,11,24,14,8960000,462867,0.051659263,5.165926339,637875.2254,32952.16428,0.051659263,5.165926339
17,/media/cudmore/data/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0006_ch1.tif,SAN7,tail,81,800,800,0.45,0.397747635,0.397747635,23,55,33,21120000,5301548,0.251020265,25.10202652,1503563.031,377424.7908,0.251020265,25.10202652
18,/media/cudmore/data/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0007_ch1.tif,,,86,800,800,0.45,0.397747635,0.397747635,20,52,33,21120000,2535691,0.120061127,12.00611269,1503563.031,180519.4719,0.120061127,12.00611269
,,SAN7,mid,,,,,,,,,,,,,,,,,NaN
