index,uFilename,uInclude,uFirstSlice,uLastSlice,uAlgorithm,analysisDate,analysisTime,algorithm,channel,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,zFinalPixel,xFinalPixel,yFinalPixel,upDownSlices,medianKernelSize,thresholdAlgorithm,thresholdPercent,removeSmallerThan,origNumLabels,dilateFinalMaskIterations,tiffHeader,saveBase,path,firstSlice,lastSlice,saveBase2
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20200518__A01_G001_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20200518__A01_G001_0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20200518__A01_G001_0003,1.0,13.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20200518__A01_G001_0003_ch2.tif,,,,,20200529,14:27:19,vascDen,2,1,0.6214808646041788,0.6214808646041788,64,512,512,36,474,474,1,"(2, 3, 3)",threshold_sauvola,0.07,80,656,2,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0003_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0003_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0003_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0003_ch2.tif,13,48,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0003_ch2
5,20200518__A01_G001_0004,1.0,27.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20200518__A01_G001_0004_ch2.tif,,,,,20200529.0,13:59:31,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,24.0,474.0,474.0,1.0,"(2, 3, 3)",threshold_sauvola,0.1,80.0,173.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0004_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0004_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0004_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0004_ch2.tif,27.0,50.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0004_ch2
7,20200518__A01_G001_0004_ch1.tif,,,,,20200528.0,13:08:54,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,24.0,474.0,474.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0004_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0004_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0004_ch1,,27.0,50.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0004_ch1
8,20200518__A01_G001_0005,1.0,24.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20200518__A01_G001_0005_ch2.tif,,,,,20200529.0,14:01:32,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,11.0,474.0,474.0,1.0,"(2, 3, 3)",threshold_sauvola,0.1,80.0,120.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0005_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0005_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0005_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0005_ch2.tif,24.0,34.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0005_ch2
