index,uFilename,uInclude,uFirstSlice,uLastSlice,analysisDate,analysisTime,algorithm,channel,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,zFinalPixel,xFinalPixel,yFinalPixel,upDownSlices,medianKernelSize,thresholdAlgorithm,thresholdPercent,removeSmallerThan,origNumLabels,dilateFinalMaskIterations,tiffHeader,saveBase,path,firstSlice,lastSlice,saveBase2
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20200717__A01_G001_0001,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20200717__A01_G001_0001_ch2.tif,,,,20200731.0,17:42:58,vascDen,2.0,1.0,0.3977476346942534,0.3977476346942534,88.0,800.0,800.0,88.0,740.0,740.0,1.0,"(2, 3, 3)",threshold_sauvola,0.07,80.0,30029.0,2.0,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0001_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0001_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/analysis2/20200717__A01_G001_0001_ch2,/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0001_ch2.tif,None,None,/Volumes/ThreeRed/nathan/20200717/analysis_full/20200717__A01_G001_0001_ch2
3,20200717__A01_G001_0002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20200717__A01_G001_0002_ch2.tif,,,,20200731.0,17:42:58,vascDen,2.0,1.0,0.3977476346942534,0.3977476346942534,88.0,800.0,800.0,88.0,740.0,740.0,1.0,"(2, 3, 3)",threshold_sauvola,0.07,80.0,13949.0,2.0,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0002_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0002_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/analysis2/20200717__A01_G001_0002_ch2,/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0002_ch2.tif,None,None,/Volumes/ThreeRed/nathan/20200717/analysis_full/20200717__A01_G001_0002_ch2
5,20200717__A01_G001_0003,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20200717__A01_G001_0003_ch2.tif,,,,20200731.0,17:42:58,vascDen,2.0,1.0,0.3977476346942534,0.3977476346942534,88.0,800.0,800.0,88.0,740.0,740.0,1.0,"(2, 3, 3)",threshold_sauvola,0.07,80.0,14296.0,2.0,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0003_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0003_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/analysis2/20200717__A01_G001_0003_ch2,/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0003_ch2.tif,None,None,/Volumes/ThreeRed/nathan/20200717/analysis_full/20200717__A01_G001_0003_ch2
7,20200717__A01_G001_0004,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20200717__A01_G001_0004_ch2.tif,,,,20200731.0,17:42:58,vascDen,2.0,1.0,0.3977476346942534,0.3977476346942534,88.0,800.0,800.0,88.0,740.0,740.0,1.0,"(2, 3, 3)",threshold_sauvola,0.07,80.0,7205.0,2.0,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0004_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0004_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/analysis2/20200717__A01_G001_0004_ch2,/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0004_ch2.tif,None,None,/Volumes/ThreeRed/nathan/20200717/analysis_full/20200717__A01_G001_0004_ch2
9,20200717__A01_G001_0005,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20200717__A01_G001_0005_ch2.tif,,,,20200731.0,17:42:58,vascDen,2.0,1.0,0.3977476346942534,0.3977476346942534,88.0,800.0,800.0,88.0,740.0,740.0,1.0,"(2, 3, 3)",threshold_sauvola,0.07,80.0,7662.0,2.0,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0005_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0005_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/analysis2/20200717__A01_G001_0005_ch2,/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0005_ch2.tif,None,None,/Volumes/ThreeRed/nathan/20200717/analysis_full/20200717__A01_G001_0005_ch2
11,20200717__A01_G001_0006,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20200717__A01_G001_0006_ch2.tif,,,,20200731.0,17:42:58,vascDen,2.0,1.0,0.3977476346942534,0.3977476346942534,88.0,800.0,800.0,88.0,740.0,740.0,1.0,"(2, 3, 3)",threshold_sauvola,0.07,80.0,21012.0,2.0,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0006_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0006_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/analysis2/20200717__A01_G001_0006_ch2,/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0006_ch2.tif,None,None,/Volumes/ThreeRed/nathan/20200717/analysis_full/20200717__A01_G001_0006_ch2
13,20200717__A01_G001_0007,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20200717__A01_G001_0007_ch2.tif,,,,20200731.0,17:42:58,vascDen,2.0,1.0,0.3977476346942534,0.3977476346942534,88.0,800.0,800.0,88.0,740.0,740.0,1.0,"(2, 3, 3)",threshold_sauvola,0.07,80.0,15232.0,2.0,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0007_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0007_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/analysis2/20200717__A01_G001_0007_ch2,/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0007_ch2.tif,None,None,/Volumes/ThreeRed/nathan/20200717/analysis_full/20200717__A01_G001_0007_ch2
15,20200717__A01_G001_0008,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20200717__A01_G001_0008_ch2.tif,,,,20200731.0,17:44:36,vascDen,2.0,1.0,0.3977476346942534,0.3977476346942534,88.0,800.0,800.0,88.0,740.0,740.0,1.0,"(2, 3, 3)",threshold_sauvola,0.07,80.0,1.0,2.0,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0008_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0008_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/analysis2/20200717__A01_G001_0008_ch2,/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0008_ch2.tif,None,None,/Volumes/ThreeRed/nathan/20200717/analysis_full/20200717__A01_G001_0008_ch2
17,20200717__A01_G001_0009,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20200717__A01_G001_0009_ch2.tif,,,,20200731.0,17:44:40,vascDen,2.0,1.0,0.3977476346942534,0.3977476346942534,88.0,800.0,800.0,88.0,740.0,740.0,1.0,"(2, 3, 3)",threshold_sauvola,0.07,80.0,4247.0,2.0,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0009_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0009_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/analysis2/20200717__A01_G001_0009_ch2,/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0009_ch2.tif,None,None,/Volumes/ThreeRed/nathan/20200717/analysis_full/20200717__A01_G001_0009_ch2
19,20200717__A01_G001_0010,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20200717__A01_G001_0010_ch2.tif,,,,20200731.0,17:44:57,vascDen,2.0,1.0,0.3977476346942534,0.3977476346942534,88.0,800.0,800.0,88.0,740.0,740.0,1.0,"(2, 3, 3)",threshold_sauvola,0.07,80.0,13774.0,2.0,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0010_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0010_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/analysis2/20200717__A01_G001_0010_ch2,/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0010_ch2.tif,None,None,/Volumes/ThreeRed/nathan/20200717/analysis_full/20200717__A01_G001_0010_ch2
