index,uFilename,uInclude,uFirstSlice,uLastSlice,analysisDate,analysisTime,algorithm,channel,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,zFinalPixel,xFinalPixel,yFinalPixel,upDownSlices,medianKernelSize,thresholdAlgorithm,thresholdPercent,removeSmallerThan,origNumLabels,dilateFinalMaskIterations,tiffHeader,saveBase,path,firstSlice,lastSlice,saveBase2,f3_param,fileNameBase
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20200717__A01_G001_0001,,,,20200806.0,09:37:30,,2.0,1.0,0.3977476346942534,0.3977476346942534,88.0,800.0,800.0,88.0,740.0,740.0,,"(2, 2, 2)",,,2000.0,,,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0001_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0001_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/analysis2/20200717__A01_G001_0001_ch2,,None,None,/Volumes/ThreeRed/nathan/20200717/analysis_full/20200717__A01_G001_0001_ch2,"[[3, 0.001], [5, 0.001], [7, 0.001]]",
2,20200717__A01_G001_0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20200717__A01_G001_0003,1.0,,,20200806.0,10:01:58,,2.0,1.0,0.3977476346942534,0.3977476346942534,88.0,800.0,800.0,88.0,740.0,740.0,,"(2, 2, 2)",,,2000.0,,,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0003_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0003_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0003_ch2,,None,None,/Volumes/ThreeRed/nathan/20200717/analysis_full/20200717__A01_G001_0003_ch2,"[[3, 0.001], [5, 0.001], [7, 0.001]]",
4,20200717__A01_G001_0003_ch2.tif,,,,20200806,12:02:32,,2,1,0.3977476346942534,0.3977476346942534,88,800,800,88,740,740,,"(2, 2, 2)",,,2000,,,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0003_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0003_ch2.tif')])",/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0003_ch2,,None,None,,"[[3, 0.001], [5, 0.001], [7, 0.001]]",20200717__A01_G001_0003_ch2
5,20200717__A01_G001_0004,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20200717__A01_G001_0005,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20200717__A01_G001_0006,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20200717__A01_G001_0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20200717__A01_G001_0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20200717__A01_G001_0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20200717__A01_G001_0010,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20200717__A01_G001_0011,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20200717__A01_G001_0012,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20200717__A01_G001_0013,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20200717__A01_G001_0014,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
