path,fileNameBase,f3_param,medianKernelSize,removeSmallerThan,analysisDate,analysisTime,channel,tiffHeader,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,firstSlice,lastSlice,zFinalPixel,xFinalPixel,yFinalPixel,saveBase,algorithm,gaussianKernelSize,removeBelowThisPercent,thresholdAlgorithm
,20200717__A01_G001_0003_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:26,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0003_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0003_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0003_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0004_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:26,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0004_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0004_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0004_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0005_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:26,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0005_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0005_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0005_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0006_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:26,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0006_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0006_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0006_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0010_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:26,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0010_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0010_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0010_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0011_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:26,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0011_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0011_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0011_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0012_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:45,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0012_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0012_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0012_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0013_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:47,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0013_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0013_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0013_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0014_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:50,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0014_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0014_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0014_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0015_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:50,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0015_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0015_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0015_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
