file,uFirstSlice,uLastSlice,uNumSlices
20200717__A01_G001_0001,,,
20200717__A01_G001_0002,,,
20200717__A01_G001_0003,18,45,28
20200717__A01_G001_0004,38,54,17
20200717__A01_G001_0005,49,65,17
20200717__A01_G001_0006,43,54,12
20200717__A01_G001_0007,,,
20200717__A01_G001_0008,,,
20200717__A01_G001_0009,,,
20200717__A01_G001_0010,57,60,4
20200717__A01_G001_0011,44,63,20
20200717__A01_G001_0012,43,65,23
20200717__A01_G001_0013,43,46,4
20200717__A01_G001_0014,44,64,21
20200717__A01_G001_0015,56,61,6
20200717__A01_G001_0016,,,
20200717__A01_G001_0017,,,
20200717__A01_G001_0018,58,62,5
20200717__A01_G001_0019,41,61,21
20200717__A01_G001_0020,37,62,26
20200717__A01_G001_0021,,,
20200717__A01_G001_0022,29,47,19
20200717__A01_G001_0023,44,58,15
20200717__A01_G001_0024,49,56,8
20200717__A01_G001_0025,,,
20200717__A01_G001_0026,40,49,10
20200717__A01_G001_0027,22,30,9
20200717__A01_G001_0028,,,
20200717__A01_G001_0029,18,38,21
20200717__A01_G001_0030,30,34,5
20200717__A01_G001_0031,27,50,24
20200717__A01_G001_0032,18,28,11
20200717__A01_G001_0033,,,
20200717__A01_G001_0034,27,51,25
20200717__A01_G001_0035,25,31,7
20200717__A01_G001_0036,,,
20200717__A01_G001_0037,,,
20200717__A01_G001_0038,15,42,28
20200717__A01_G001_0039,,,
20200717__A01_G001_0040,,,
20200717__A01_G001_0041,,,
20200717__A01_G001_0042,,,
20200717__A01_G001_0043,,,
20200717__A01_G001_0044,,,
