index,uAnalysisPath,uFilename,uInclude,uFirstSlice,uLastSlice,uNumSlices,notes
0,/Volumes/ThreeRed/nathan/20200720/aicsAnalysis,20200720__A01_G001_0001,,,,,
1,,20200720__A01_G001_0002,,,,,
2,,20200720__A01_G001_0003,1,,,,
3,,20200720__A01_G001_0004,1,,,,
4,,20200720__A01_G001_0005,1,,,,
5,,20200720__A01_G001_0006,,,,,
6,,20200720__A01_G001_0007,,,,,
7,,20200720__A01_G001_0008,1,,,,
8,,20200720__A01_G001_0009,1,,,,
9,,20200720__A01_G001_0010,,,,,
10,,20200720__A01_G001_0011,,,,,
11,,20200720__A01_G001_0012,,,,,
12,,20200720__A01_G001_0013,,,,,
13,,20200720__A01_G001_0014,,,,,
14,,20200720__A01_G001_0015,,,,,
15,,20200720__A01_G001_0016,1,,,,
16,,20200720__A01_G001_0017,1,,,,
17,,20200720__A01_G001_0018,1,,,,
18,,20200720__A01_G001_0019,1,,,,
19,,20200720__A01_G001_0020,1,,,,
20,,20200720__A01_G001_0021,1,,,,
21,,20200720__A01_G001_0022,,,,,
22,,20200720__A01_G001_0023,,,,,
23,,20200720__A01_G001_0024,,,,,
24,,20200720__A01_G001_0025,,,,,marked bad during first/last
25,,20200720__A01_G001_0026,,,,,
26,,20200720__A01_G001_0027,1,,,,
27,,20200720__A01_G001_0028,1,,,,
28,,20200720__A01_G001_0029,1,,,,
29,,20200720__A01_G001_0030,,,,,
30,,20200720__A01_G001_0031,,,,,
31,,20200720__A01_G001_0032,1,,,,
32,,20200720__A01_G001_0033,1,,,,
33,,20200720__A01_G001_0034,1,,,,
34,,20200720__A01_G001_0035,,,,,
35,,20200720__A01_G001_0036,,,,,
36,,20200720__A01_G001_0037,,,,,
37,,20200720__A01_G001_0038,,,,,
38,,20200720__A01_G001_0039,1,,,,
39,,20200720__A01_G001_0040,1,,,,
40,,20200720__A01_G001_0041,1,,,,
41,,20200720__A01_G001_0042,1,,,,
42,,20200720__A01_G001_0043,1,,,,
43,,20200720__A01_G001_0044,1,,,,
44,,20200720__A01_G001_0045,1,,,,
45,,20200720__A01_G001_0046,1,,,,
46,,20200720__A01_G001_0047,,,,,
47,,20200720__A01_G001_0048,,,,,
