path,fileNameBase,f3_param,medianKernelSize,removeBelowThisPercent,removeSmallerThan,analysisDate,analysisTime,channel,tiffHeader,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,firstSlice,lastSlice,zFinalPixel,xFinalPixel,yFinalPixel,saveBase
,20200724__A01_G001_0001_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:00:43,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0001_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0001_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0001_ch2
,20200724__A01_G001_0002_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:00:43,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0002_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0002_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0002_ch2
,20200724__A01_G001_0003_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:00:43,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0003_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0003_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0003_ch2
,20200724__A01_G001_0004_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:03:44,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0004_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0004_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0004_ch2
,20200724__A01_G001_0005_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:03:45,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0005_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0005_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0005_ch2
,20200724__A01_G001_0006_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:03:45,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0006_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0006_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0006_ch2
,20200724__A01_G001_0007_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:06:23,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0007_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0007_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0007_ch2
,20200724__A01_G001_0008_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:06:30,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0008_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0008_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0008_ch2
,20200724__A01_G001_0009_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:06:30,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0009_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0009_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0009_ch2
,20200724__A01_G001_0010_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:08:52,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0010_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0010_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0010_ch2
